# SprintScope Test Export
# Athlete:,Bandar 400mH
# Test ID:,90
# Test Type:,Sprint
# Date:,2026-06-29 11:29:57
# Session Type:,Training
# Venue:,Outdoor
# Weather:,Dry
# Wind:,No Wind
# Surface:,Track
# Footwear:,Spikes
# Zero Offset:,1004.570
# Orth. Offset:,0.000
# Filter:,Butterworth
# Filter Params:,Order: 2, Cutoff: 1.21 Hz
# Distance:,60 m
# Splits Every:,10 m
# Start Position:,Running start
#
Time [s],Distance [m],,Distance_Filtered [m],Velocity [m/s],Acceleration [m/s^2],,Split Distance [m],Delta Time [s],Cumulative Time [s],Split Velocity [m/s]
0.0000,4.1400,,-2.0534,0.0000,0.0000,,0.00,0.000,0.000,4.557
0.0050,4.1400,,-2.0533,0.0221,4.4250,,10.00,1.455,1.455,8.277
0.0100,4.1400,,-2.0532,0.0231,0.1907,,20.00,1.134,2.588,9.342
0.0150,4.1400,,-2.0530,0.0241,0.2003,,30.00,1.052,3.640,9.707
0.0200,4.1400,,-2.0529,0.0251,0.2003,,40.00,1.023,4.663,9.801
0.0250,4.1400,,-2.0528,0.0261,0.2003,,49.53,0.000,5.635,9.855
0.0300,4.1400,,-2.0526,0.0271,0.2003,,50.00,1.019,5.682,9.855
0.0350,4.1400,,-2.0525,0.0281,0.2003,,60.00,1.022,6.704,9.080
0.0400,4.1400,,-2.0524,0.0291,0.2003,,,,,
0.0450,4.1400,,-2.0522,0.0301,0.2003,,,,,
0.0500,4.1400,,-2.0521,0.0311,0.2098,,,,,
0.0550,4.1400,,-2.0519,0.0321,0.2003,,,,,
0.0600,4.1400,,-2.0517,0.0331,0.2003,,,,,
0.0650,4.1400,,-2.0516,0.0341,0.2003,,,,,
0.0700,4.1400,,-2.0514,0.0351,0.2003,,,,,
0.0750,4.1400,,-2.0512,0.0361,0.2003,,,,,
0.0800,4.1400,,-2.0510,0.0371,0.2003,,,,,
0.0850,4.1400,,-2.0508,0.0381,0.1907,,,,,
0.0900,4.1400,,-2.0506,0.0391,0.1907,,,,,
0.0950,4.1400,,-2.0504,0.0400,0.1812,,,,,
0.1000,4.1400,,-2.0502,0.0409,0.1812,,,,,
0.1050,4.1400,,-2.0500,0.0417,0.1717,,,,,
0.1100,4.1500,,-2.0498,0.0425,0.1621,,,,,
0.1150,4.1500,,-2.0496,0.0433,0.1526,,,,,
0.1200,4.1500,,-2.0494,0.0440,0.1431,,,,,
0.1250,4.1500,,-2.0491,0.0447,0.1431,,,,,
0.1300,4.1500,,-2.0489,0.0454,0.1335,,,,,
0.1350,4.1500,,-2.0487,0.0461,0.1335,,,,,
0.1400,4.1500,,-2.0485,0.0467,0.1240,,,,,
0.1450,4.1500,,-2.0482,0.0473,0.1240,,,,,
0.1500,4.1500,,-2.0480,0.0479,0.1240,,,,,
0.1550,4.1500,,-2.0477,0.0485,0.1240,,,,,
0.1600,4.1500,,-2.0475,0.0492,0.1240,,,,,
0.1650,4.1500,,-2.0472,0.0498,0.1240,,,,,
0.1700,4.1500,,-2.0470,0.0504,0.1240,,,,,
0.1750,4.1500,,-2.0467,0.0510,0.1240,,,,,
0.1800,4.1500,,-2.0465,0.0516,0.1240,,,,,
0.1850,4.1500,,-2.0462,0.0523,0.1240,,,,,
0.1900,4.1500,,-2.0460,0.0529,0.1335,,,,,
0.1950,4.1500,,-2.0457,0.0536,0.1335,,,,,
0.2000,4.1500,,-2.0454,0.0543,0.1335,,,,,
0.2050,4.1500,,-2.0451,0.0550,0.1431,,,,,
0.2100,4.1500,,-2.0449,0.0557,0.1431,,,,,
0.2150,4.1500,,-2.0446,0.0564,0.1431,,,,,
0.2200,4.1500,,-2.0443,0.0572,0.1526,,,,,
0.2250,4.1500,,-2.0440,0.0579,0.1526,,,,,
0.2300,4.1500,,-2.0437,0.0587,0.1621,,,,,
0.2350,4.1500,,-2.0434,0.0596,0.1621,,,,,
0.2400,4.1500,,-2.0431,0.0604,0.1621,,,,,
0.2450,4.1500,,-2.0428,0.0612,0.1717,,,,,
0.2500,4.1500,,-2.0425,0.0621,0.1717,,,,,
0.2550,4.1500,,-2.0422,0.0629,0.1717,,,,,
0.2600,4.1500,,-2.0419,0.0638,0.1812,,,,,
0.2650,4.1500,,-2.0415,0.0648,0.1812,,,,,
0.2700,4.1500,,-2.0412,0.0657,0.1812,,,,,
0.2750,4.1500,,-2.0409,0.0666,0.1812,,,,,
0.2800,4.1500,,-2.0405,0.0675,0.1812,,,,,
0.2850,4.1500,,-2.0402,0.0684,0.1812,,,,,
0.2900,4.1500,,-2.0398,0.0693,0.1812,,,,,
0.2950,4.1500,,-2.0395,0.0702,0.1812,,,,,
0.3000,4.1500,,-2.0391,0.0710,0.1717,,,,,
0.3050,4.1500,,-2.0388,0.0719,0.1717,,,,,
0.3100,4.1500,,-2.0384,0.0727,0.1621,,,,,
0.3150,4.1600,,-2.0380,0.0735,0.1621,,,,,
0.3200,4.1600,,-2.0377,0.0743,0.1526,,,,,
0.3250,4.1600,,-2.0373,0.0750,0.1431,,,,,
0.3300,4.1600,,-2.0369,0.0757,0.1431,,,,,
0.3350,4.1600,,-2.0365,0.0764,0.1335,,,,,
0.3400,4.1600,,-2.0362,0.0770,0.1240,,,,,
0.3450,4.1600,,-2.0358,0.0776,0.1240,,,,,
0.3500,4.1600,,-2.0354,0.0782,0.1240,,,,,
0.3550,4.1600,,-2.0350,0.0788,0.1144,,,,,
0.3600,4.1600,,-2.0346,0.0794,0.1144,,,,,
0.3650,4.1600,,-2.0342,0.0799,0.1049,,,,,
0.3700,4.1600,,-2.0338,0.0804,0.1049,,,,,
0.3750,4.1600,,-2.0334,0.0809,0.0954,,,,,
0.3800,4.1600,,-2.0330,0.0814,0.0954,,,,,
0.3850,4.1600,,-2.0326,0.0819,0.0954,,,,,
0.3900,4.1600,,-2.0322,0.0823,0.0858,,,,,
0.3950,4.1600,,-2.0317,0.0827,0.0763,,,,,
0.4000,4.1600,,-2.0313,0.0831,0.0763,,,,,
0.4050,4.1600,,-2.0309,0.0834,0.0668,,,,,
0.4100,4.1600,,-2.0305,0.0837,0.0572,,,,,
0.4150,4.1600,,-2.0301,0.0840,0.0572,,,,,
0.4200,4.1600,,-2.0296,0.0842,0.0477,,,,,
0.4250,4.1600,,-2.0292,0.0844,0.0381,,,,,
0.4300,4.1600,,-2.0288,0.0845,0.0286,,,,,
0.4350,4.1600,,-2.0284,0.0846,0.0191,,,,,
0.4400,4.1600,,-2.0280,0.0846,0.0000,,,,,
0.4450,4.1700,,-2.0275,0.0846,-0.0095,,,,,
0.4500,4.1700,,-2.0271,0.0844,-0.0286,,,,,
0.4550,4.1700,,-2.0267,0.0843,-0.0381,,,,,
0.4600,4.1700,,-2.0263,0.0840,-0.0572,,,,,
0.4650,4.1700,,-2.0259,0.0836,-0.0668,,,,,
0.4700,4.1700,,-2.0254,0.0833,-0.0763,,,,,
0.4750,4.1700,,-2.0250,0.0828,-0.0954,,,,,
0.4800,4.1700,,-2.0246,0.0823,-0.1049,,,,,
0.4850,4.1700,,-2.0242,0.0817,-0.1144,,,,,
0.4900,4.1700,,-2.0238,0.0810,-0.1335,,,,,
0.4950,4.1700,,-2.0234,0.0803,-0.1431,,,,,
0.5000,4.1700,,-2.0230,0.0795,-0.1526,,,,,
0.5050,4.1700,,-2.0226,0.0787,-0.1717,,,,,
0.5100,4.1700,,-2.0222,0.0778,-0.1812,,,,,
0.5150,4.1800,,-2.0218,0.0768,-0.1907,,,,,
0.5200,4.1800,,-2.0215,0.0758,-0.2098,,,,,
0.5250,4.1800,,-2.0211,0.0747,-0.2193,,,,,
0.5300,4.1800,,-2.0207,0.0735,-0.2289,,,,,
0.5350,4.1800,,-2.0203,0.0723,-0.2384,,,,,
0.5400,4.1800,,-2.0200,0.0711,-0.2480,,,,,
0.5450,4.1800,,-2.0196,0.0698,-0.2575,,,,,
0.5500,4.1800,,-2.0193,0.0685,-0.2670,,,,,
0.5550,4.1800,,-2.0190,0.0671,-0.2670,,,,,
0.5600,4.1800,,-2.0186,0.0658,-0.2766,,,,,
0.5650,4.1800,,-2.0183,0.0644,-0.2766,,,,,
0.5700,4.1800,,-2.0180,0.0630,-0.2766,,,,,
0.5750,4.1800,,-2.0177,0.0616,-0.2766,,,,,
0.5800,4.1800,,-2.0174,0.0602,-0.2766,,,,,
0.5850,4.1800,,-2.0171,0.0588,-0.2766,,,,,
0.5900,4.1800,,-2.0168,0.0575,-0.2766,,,,,
0.5950,4.1800,,-2.0165,0.0561,-0.2766,,,,,
0.6000,4.1800,,-2.0163,0.0547,-0.2766,,,,,
0.6050,4.1800,,-2.0160,0.0533,-0.2766,,,,,
0.6100,4.1800,,-2.0157,0.0519,-0.2766,,,,,
0.6150,4.1800,,-2.0155,0.0506,-0.2670,,,,,
0.6200,4.1800,,-2.0152,0.0493,-0.2670,,,,,
0.6250,4.1900,,-2.0150,0.0479,-0.2670,,,,,
0.6300,4.1800,,-2.0148,0.0466,-0.2575,,,,,
0.6350,4.1900,,-2.0145,0.0453,-0.2575,,,,,
0.6400,4.1900,,-2.0143,0.0441,-0.2480,,,,,
0.6450,4.1900,,-2.0141,0.0429,-0.2480,,,,,
0.6500,4.1900,,-2.0139,0.0417,-0.2384,,,,,
0.6550,4.1900,,-2.0137,0.0405,-0.2289,,,,,
0.6600,4.1900,,-2.0135,0.0395,-0.2098,,,,,
0.6650,4.1900,,-2.0133,0.0385,-0.2003,,,,,
0.6700,4.1900,,-2.0131,0.0376,-0.1812,,,,,
0.6750,4.1900,,-2.0129,0.0368,-0.1621,,,,,
0.6800,4.1900,,-2.0127,0.0360,-0.1431,,,,,
0.6850,4.1900,,-2.0126,0.0354,-0.1240,,,,,
0.6900,4.1800,,-2.0124,0.0350,-0.0954,,,,,
0.6950,4.1800,,-2.0122,0.0346,-0.0763,,,,,
0.7000,4.1800,,-2.0120,0.0343,-0.0477,,,,,
